"","min_max_s","s1","s2","s3","s4","s5"
"DMU1",0.339930952380719,0.17624,0.339930952380719,0.339930952380719,0,0.339930952380719
"DMU2",0.393424285713969,0.2236,0.393424285713969,0.393424285713969,0,0.39342428571397
"DMU3",0.0628442857142457,0.0628442857142457,0.04126,0.0628442857142457,0,0.0628442857142457
"DMU4",0.167360952380836,0.11192,0.167360952380836,0.167360952380836,0,0.167360952380836
"DMU5",0.15354257142855,0.15354257142855,0.15354257142855,0.15354257142855,0.15354257142855,0.15354257142855
"DMU6",0.108333214285623,0.108333214285623,0.108333214285623,0.108333214285623,0,0.108333214285623
"DMU7",0.234764285714129,0.11192,0.234764285714129,0.234764285714129,0,0.234764285714129
"DMU8",0.313211315789209,0.1548,0.313211315789209,0.313211315789209,0.313211315789209,0.313211315789209
"DMU9",0.301332727272795,0.254,0.12378,0.301332727272795,0.301332727272795,0.301332727272795
"DMU10",0.18057368421062,0.17624,0.04126,0.180573684210621,0,0.18057368421062
"DMU11",0.155263214285594,0.155263214285594,0.155263214285594,0.155263214285594,0,0.155263214285594
"DMU12",0.185558214285688,0.185558214285688,0.06189,0.185558214285688,0.185558214285688,0.185558214285688
"DMU13",0.168825714285586,0.168825714285586,0.168825714285586,0.168825714285586,0,0.168825714285586
"DMU14",0.253943214285598,0.253943214285598,0.253943214285598,0.253943214285598,0,0.253943214285598
"DMU15",0.320508214285558,0.320508214285558,0.320508214285558,0.320508214285558,0,0.320508214285558
"DMU16",0.332217619047333,0.254,0.332217619047333,0.332217619047333,0,0.332217619047333
"DMU17",0.511203749999215,0.30582,0.511203749999215,0.511203749999216,0.5,0.511203749999215
"DMU18",0.348962894736542,0.18696,0.348962894736542,0.348962894736542,0.348962894736542,0.348962894736542
"DMU19",0.191373214285573,0.191373214285573,0.191373214285573,0.191373214285573,0,0.191373214285573
"DMU20",0.244473214285603,0.244473214285603,0.244473214285603,0.244473214285603,0,0.244473214285603
"DMU21",0.44122236842071,0.11192,0.44122236842071,0.441222368420711,0.44122236842071,0.44122236842071
"DMU22",0.225860606060641,0.2236,0.0206300000000001,0.225860606060641,0.225860606060641,0.225860606060641
"DMU23",0.323877619047347,0.2084,0.323877619047347,0.323877619047347,0,0.323877619047348
"DMU24",0.309718214285564,0.309718214285564,0.309718214285564,0.309718214285564,0,0.309718214285564
"DMU25",0.451363214285688,0.254,0.451363214285688,0.451363214285688,0.451363214285688,0.451363214285688
"DMU26",0.447418749999359,0.19768,0.447418749999359,0.447418749999359,0.4,0.447418749999359
"DMU27",0.28260321428575,0.28260321428575,0.18567,0.28260321428575,0.28260321428575,0.28260321428575
"DMU28",0.298925789473419,0.18696,0.298925789473419,0.29892578947342,0.298925789473419,0.298925789473419
"DMU29",0.460477619047583,0.2692,0.2063,0.460477619047583,0.460477619047583,0.460477619047583
"DMU30",0.518230952380917,0.2388,0.518230952380917,0.5,0.518230952380917,0.518230952380917
"DMU31",0.363001578946986,0.2692,0.363001578946986,0.363001578946986,0.363001578946986,0.363001578946986
"DMU32",0.268464583333116,0.093971428571428,0.268464583333116,0.268464583333117,0,0.268464583333116
"DMU33",0.300804285714028,0.2084,0.300804285714028,0.300804285714028,0,0.300804285714028
"DMU34",0.508016060605489,0.30582,0.508016060605489,0.5,0.508016060605489,0.508016060605489
"DMU35",0.43027657894702,0.1548,0.43027657894702,0.430276578947021,0.43027657894702,0.43027657894702
"DMU36",0.373895526315473,0.32724,0.373895526315473,0.373895526315474,0.373895526315473,0.373895526315473
"DMU37",0.361237619047327,0.19768,0.361237619047327,0.361237619047327,0,0.361237619047327
"DMU38",0.213324285714201,0.213324285714201,0.0206300000000001,0.213324285714201,0,0.213324285714201
"DMU39",0.363617619047379,0.34866,0.363617619047379,0.363617619047379,0,0.363617619047379
"DMU40",0.376064473683841,0.19768,0.376064473683841,0.376064473683842,0.376064473683841,0.376064473683841
"DMU41",0.266844285714099,0.16552,0.266844285714099,0.266844285714099,0,0.266844285714099
"DMU42",0.286943214285688,0.19768,0.286943214285688,0.286943214285688,0.286943214285688,0.286943214285688
"DMU43",0.443630952380606,0.2236,0.443630952380606,0.443630952380606,0,0.443630952380606
"DMU44",0.0854132142856363,0.0854132142856363,0.0854132142856363,0.0854132142856363,0,0.0854132142856363
"DMU45",0.23601095238085,0.23601095238085,0.0412600000000001,0.23601095238085,0,0.23601095238085
"DMU46",0.305624285714013,0.2692,0.305624285714013,0.305624285714013,0,0.305624285714013
"DMU47",0.297192368420722,0.254,0.297192368420722,0.297192368420722,0.297192368420722,0.297192368420722
"DMU48",0.368282894736541,0.14408,0.368282894736541,0.368282894736542,0.368282894736541,0.368282894736541
"DMU49",0.127003214285643,0.127003214285643,0.127003214285643,0.127003214285643,0,0.127003214285643
"DMU50",0.3805865714286,0.3805865714286,0.3805865714286,0.3805865714286,0.3805865714286,0.3805865714286
"DMU51",0.365370952380702,0.18696,0.365370952380702,0.365370952380702,0,0.365370952380702
"DMU52",0.409693749999562,0.2388,0.409693749999562,0.409693749999562,0,0.409693749999562
"DMU53",0.185723214285576,0.185723214285576,0.185723214285576,0.185723214285576,0,0.185723214285576
"DMU54",0.320898749999727,0.16552,0.320898749999727,0.320898749999727,0,0.320898749999727
"DMU55",0.3273976190474,0.14408,0.3273976190474,0.3273976190474,0,0.3273976190474
"DMU56",0.316997619047625,0.14408,0.2524,0.316997619047625,0.316997619047625,0.316997619047625
"DMU57",0.36772428571425,0.2844,0.36765,0.36772428571425,0.36772428571425,0.36772428571425
"DMU58",0.227883214285688,0.227883214285688,0.12378,0.227883214285688,0.227883214285688,0.227883214285688
"DMU59",0.346744285714046,0.18696,0.346744285714046,0.346744285714046,0,0.346744285714046
"DMU60",0.326726428571143,0.14408,0.18567,0.326726428571143,0,0.326726428571143
"DMU61",0.205980714285564,0.205980714285564,0.205980714285564,0.205980714285564,0,0.205980714285564
"DMU62",0.470438684210082,0.2236,0.470438684210082,0.470438684210082,0.470438684210082,0.470438684210082
"DMU63",0.18327321428564,0.18327321428564,0.18327321428564,0.18327321428564,0,0.18327321428564
"DMU64",0.247448214285602,0.247448214285602,0.247448214285602,0.247448214285602,0,0.247448214285602
"DMU65",0.19659263157904,0.1548,0.04126,0.196592631579041,0,0.19659263157904
"DMU66",0.371058749999717,0.12264,0.371058749999717,0.371058749999718,0,0.371058749999717
"DMU67",0.205778214285564,0.205778214285564,0.205778214285564,0.205778214285564,0,0.205778214285564
"DMU68",0.391057619047625,0.14408,0.391057619047625,0.3691,0.391057619047625,0.391057619047625
"DMU69",0.338737619047625,0.18696,0.04126,0.338737619047625,0.338737619047625,0.338737619047625
"DMU70",0.340124285713992,0.2692,0.340124285713992,0.340124285713992,0,0.340124285713992
"DMU71",0.0553442857142503,0.0553442857142503,0.04126,0.0553442857142503,0,0.0553442857142503
"DMU72",0.136366428571297,0.11192,0.0825200000000001,0.136366428571297,0,0.136366428571297
"DMU73",0.358124285713994,0.2084,0.358124285713994,0.358124285713994,0,0.358124285713994
"DMU74",0.355497619047625,0.11192,0.16504,0.355497619047625,0.355497619047625,0.355497619047625
"DMU75",0.437579285714071,0.437579285714071,0,0.437579285714071,0,0.437579285714071
"DMU76",0.359877619047378,0.1548,0.359877619047378,0.359877619047378,0,0.359877619047378
"DMU77",0.160143214285592,0.160143214285592,0.160143214285592,0.160143214285592,0,0.160143214285592
"DMU78",0.377474285713976,0.2388,0.377474285713976,0.377474285713976,0,0.377474285713976
"DMU79",0.460393421052202,0.19768,0.460393421052202,0.460393421052203,0.460393421052202,0.460393421052202
"DMU80",0.493510952380612,0.46478,0.493510952380612,0.493510952380612,0,0.493510952380612
"DMU81",0.376797619047313,0.2236,0.376797619047313,0.376797619047313,0,0.376797619047313
"DMU82",0.337400789473392,0.18696,0.337400789473392,0.337400789473392,0.337400789473392,0.337400789473392
"DMU83",0.336790952380959,0.11192,0.336790952380959,0.1845,0.336790952380959,0.336790952380959
"DMU84",0.442288214285688,0.254,0.442288214285688,0.442288214285688,0.442288214285688,0.442288214285688
"DMU85",0.131457619047484,0.131457619047484,0.10315,0.131457619047484,0,0.131457619047484
"DMU86",0.315856428571034,0.254,0.2524,0.315856428571034,0,0.315856428571034
"DMU87",0.316757619047404,0.1548,0.316757619047404,0.316757619047404,0,0.316757619047404
