"","distance","s1","s2","s3","s4","s5"
"DMU1",0.175887184874076,0.111182857143,0.323969999999999,0.5,0,0.26088
"DMU2",0.206451890756447,0.158542857143,0.85401,0,0,0.39132
"DMU3",0.033793067226932,0.100462857143,0.0206299999999999,0,0,0.1087
"DMU4",0.0902945378152013,0.046862857143,0.20872,0.1845,0,0.17392
"DMU5",0.1535425714286,0.158542857143,0.14441,-0.1309,0.4,0.19566
"DMU6",0.0637254201681264,0.158542857143,0.23177,-0.1309,0,0.17392
"DMU7",0.120031302521101,0.0468628571429998,0.32397,0.1845,0,0.26088
"DMU8",0.270562115384851,0.0897428571429998,0.46673,0.1845,0.4,0.28262
"DMU9",0.249719672131122,0.188942857143,0.10315,0.5,0.4,0.2174
"DMU10",0.10616229508198,0.111182857143,0.02063,0.5,0,0.15218
"DMU11",0.0913313025210842,0.188942857143,0.41617,-0.2232,0,0.23914
"DMU12",0.1608245714286,0.188942857143,0.0412600000000001,0,0.4,0.17392
"DMU13",0.0993092436975595,0.132622857143,0.34702,0,0,0.19566
"DMU14",0.149378361344648,0.363082857143,0.37007,0,0,0.28262
"DMU15",0.188534243697613,0.326442857143,0.466730000000001,0.184500000000001,0,0.30436
"DMU16",0.183919537815257,0.188942857143,0.73561,0,0,0.3261
"DMU17",0.452891730769578,0.240762857143,0.97937,0.5,0.5,0.41306
"DMU18",0.305346730769485,0.121902857143,0.67757,0.1845,0.4,0.30436
"DMU19",0.112572478991685,0.219342857143,0.41617,-0.1309,0,0.26088
"DMU20",0.143807773109351,0.283602857143,0.54257,-0.1309,0,0.28262
"DMU21",0.352564038461827,0.0468628571429994,0.46673,0.5,0.7,0.2174
"DMU22",0.178239672131136,0.158542857143,0,0.1845,0.4,0.15218
"DMU23",0.173534243697604,0.143342857143,0.56957,0.1845,0,0.28262
"DMU24",0.18218718487408,0.305022857143,0.46673,0.1845,0,0.28262
"DMU25",0.411890571428601,0.188942857143001,0.822670000000001,0,0.7,0.347840000000001
"DMU26",0.367414807692585,0.132622857143,0.91669,0.5,0.4,0.3261
"DMU27",0.2632165714286,0.262182857143,0.16504,0.1845,0.4,0.30436
"DMU28",0.268781153846377,0.121902857143,0.34702,0.5,0.4,0.17392
"DMU29",0.3713865714286,0.204142857143,0.18567,0.1845,1,0.28262
"DMU30",0.4586985714286,0.173742857143,0.793650000000001,0,1,0.3261
"DMU31",0.33774730769259,0.204142857143,0.34702,0.5,0.4,0.34784
"DMU32",0.149206730769351,0.0289142857144279,0.67757,0.1845,0,0.2174
"DMU33",0.163354831932892,0.143342857143,0.70659,0,0,0.26088
"DMU34",0.452807884615759,0.240762857143,0.97937,0,0.7,0.39132
"DMU35",0.356109807692607,0.0897428571429996,0.822669999999999,0,0.699999999999999,0.23914
"DMU36",0.361334423077228,0.262182857143,0.62357,0.1845,0.4,0.39132
"DMU37",0.188440126050554,0.132622857143,0.82267,0,0,0.3261
"DMU38",0.0971474789916759,0.399722857143,0,0,0,0.26088
"DMU39",0.211693067227039,0.283602857143001,0.623570000000001,0.184500000000001,0,0.347840000000001
"DMU40",0.32803788461565,0.132622857143,0.822669999999998,0.184499999999999,0.4,0.326099999999999
"DMU41",0.142066596638762,0.100462857143,0.73561,-0.1309,0,0.26088
"DMU42",0.2690905714286,0.132622857143,0.32397,0.1845,0.4,0.30436
"DMU43",0.228601890756461,0.158542857143,0.885349999999999,0.1845,0,0.3261
"DMU44",0.0502430672269419,0.173742857143,0.10315,-0.1309,0,0.19566
"DMU45",0.110190126050507,0.305022857143,0.02063,0.1845,0,0.23914
"DMU46",0.174422478991722,0.204142857143,0.67757,0,0,0.30436
"DMU47",0.285563653846402,0.188942857143,0.46673,0.1845,0.4,0.23914
"DMU48",0.307920576923329,0.0790228571429999,0.948030000000001,0,0.4,0.3261
"DMU49",0.0747077731093095,0.121902857143,0.27787,-0.1309,0,0.23914
"DMU50",0.3805865714286,0.363082857143001,0.492009999999999,0,0.7,0.347840000000001
"DMU51",0.188687184874084,0.121902857143,0.65057,0.1845,0,0.3261
"DMU52",0.25338173076942,0.173742857143,0.73561,0.5,0,0.3261
"DMU53",0.109248949579918,0.204142857143,0.27787,0,0,0.26088
"DMU54",0.192670192307843,0.100462857143,0.49201,0.5,0,0.26088
"DMU55",0.165628361344658,0.079022857143,0.76463,0,0,0.28262
"DMU56",0.2694945714286,0.0790228571429997,0.23177,0.1845,0.7,0.15218
"DMU57",0.3510445714286,0.219342857143,0.34702,0.1845,0.7,0.30436
"DMU58",0.2070625714286,0.173742857143,0.10315,0.1845,0.4,0.17392
"DMU59",0.180469537815255,0.121902857143,0.82267,0,0,0.28262
"DMU60",0.144588655462293,0.079022857143,0.16504,0.5,0,0.23914
"DMU61",0.121165126050514,0.188942857143,0.25482,0.1845,0,0.19566
"DMU62",0.403982115384929,0.158542857143,0.82267,0.5,0.5,0.36958
"DMU63",0.107807773109329,0.262182857143,0.23177,0,0,0.23914
"DMU64",0.145557773109352,0.262182857143,0.46673,0,0,0.26088
"DMU65",0.106231147540997,0.089742857143,0.0206300000000003,0.5,0,0.17392
"DMU66",0.20427634615399,0.0575828571429999,0.79365,0.5,0,0.23914
"DMU67",0.121046008403455,0.143342857143,0.27787,0.1845,0,0.2174
"DMU68",0.3372705714286,0.0790228571429998,0.54257,-0.1309,1,0.19566
"DMU69",0.2488865714286,0.121902857143,0.0206299999999999,0.1845,0.7,0.2174
"DMU70",0.189643067227025,0.204142857143,0.59657,0.1845,0,0.30436
"DMU71",0.0304842436975182,0.121902857143,0.0206299999999996,-0.1309,0,0.19566
"DMU72",0.0687018907563648,0.046862857143,0.0618900000000001,0.1845,0,0.17392
"DMU73",0.188643067227025,0.143342857143,0.65057,0.1845,0,0.30436
"DMU74",0.2686905714286,0.0468628571429999,0.14441,0,1,0.15218
